id,target
0,0.03452
1,0.03126
2,0.03288
3,0.01678
4,0.01848
5,0.01695
6,0.03972
8,0.02152
10,0.06591
11,0.02543
12,0.02759
14,0.01568
15,0.06627
18,0.04256
21,0.04293
23,0.02910
24,0.03600
25,0.04366
27,0.02963
29,0.04077
30,0.02848
31,0.04162
32,0.04966
33,0.02914
37,0.03380
38,0.03987
39,0.06192
40,0.02474
41,0.04924
42,0.02699
44,0.02181
45,0.02688
47,0.03558
49,0.02755
51,0.03514
52,0.02266
53,0.03042
54,0.10457
55,0.02199
56,0.02293
57,0.04658
59,0.04109
60,0.05089
62,0.01581
63,0.07711
67,0.05835
68,0.01865
69,0.05320
70,0.02125
71,0.05955
73,0.04839
75,0.03392
76,0.02989
81,0.01771
82,0.03532
83,0.02794
86,0.04054
87,0.04031
88,0.02386
91,0.03784
92,0.02516
94,0.02918
97,0.02453
100,0.03074
102,0.03660
103,0.02884
105,0.03507
106,0.07007
108,0.03419
113,0.06415
114,0.02355
115,0.02198
118,0.04358
122,0.01454
124,0.05613
126,0.03643
128,0.03447
129,0.04981
130,0.04491
131,0.02762
132,0.03167
133,0.01651
134,0.04302
135,0.04099
136,0.01824
139,0.03414
140,0.02875
141,0.05882
146,0.03082
148,0.04431
151,0.02192
152,0.06460
154,0.02244
157,0.02679
158,0.01574
159,0.06017
161,0.02350
164,0.01807
165,0.06597
167,0.03583
168,0.04220
169,0.02331
171,0.03259
172,0.06445
173,0.01944
174,0.02241
175,0.04275
176,0.03228
178,0.03145
179,0.01578
180,0.02530
181,0.01849
182,0.07208
183,0.03694
184,0.07607
185,0.04660
187,0.02950
188,0.01756
190,0.02286
191,0.02012
192,0.04752
195,0.03184
196,0.03163
198,0.05635
201,0.03329
202,0.04392
203,0.02793
204,0.02176
207,0.03781
213,0.03547
219,0.01980
220,0.03638
222,0.03497
226,0.01604
228,0.09116
230,0.04067
231,0.02294
232,0.04693
233,0.03198
234,0.01538
236,0.03668
237,0.02054
238,0.06138
240,0.04114
241,0.02189
242,0.05042
243,0.03714
245,0.02498
246,0.03997
247,0.02651
249,0.03623
250,0.02980
251,0.01935
252,0.02600
253,0.01542
254,0.05040
255,0.08789
256,0.03120
257,0.03000
258,0.03594
259,0.07915
260,0.01132
262,0.01965
267,0.02751
268,0.02226
270,0.01908
272,0.02441
273,0.02280
274,0.02670
275,0.06579
276,0.03894
277,0.03370
278,0.05306
279,0.04920
281,0.03495
282,0.02624
283,0.02679
287,0.04164
288,0.05357
289,0.02445
290,0.02477
291,0.04108
292,0.10032
293,0.04270
294,0.02372
295,0.02148
296,0.06530
297,0.02909
298,0.03511
299,0.07161
300,0.04279
303,0.03029
304,0.07715
308,0.02524
314,0.07659
315,0.04212
317,0.03077
318,0.07802
320,0.06332
322,0.04058
323,0.03034
327,0.03213
329,0.07931
331,0.03048
332,0.09044
333,0.05047
334,0.02517
335,0.02553
336,0.04218
337,0.04671
341,0.05157
343,0.03005
345,0.05444
347,0.02367
348,0.03178
349,0.02680
352,0.02663
353,0.01730
354,0.03885
355,0.03221
356,0.02724
357,0.02385
358,0.02655
359,0.02270
361,0.05015
362,0.02767
365,0.04048
366,0.03183
368,0.03777
369,0.02750
371,0.02842
373,0.02542
376,0.03971
377,0.02344
379,0.04885
381,0.02765
382,0.03909
383,0.04092
384,0.01991
385,0.03431
386,0.03065
387,0.02068
388,0.06430
390,0.02570
391,0.02670
392,0.05331
393,0.03651
394,0.03280
396,0.02923
400,0.03696
402,0.04876
403,0.02011
405,0.04322
407,0.03930
409,0.02802
411,0.02435
412,0.01795
414,0.10926
415,0.02836
416,0.01776
418,0.02218
419,0.03131
421,0.01774
422,0.03570
423,0.03130
424,0.08058
426,0.01460
427,0.07728
428,0.02606
436,0.03869
438,0.03266
442,0.02234
443,0.02179
445,0.03429
446,0.02703
447,0.01646
450,0.05001
452,0.01577
453,0.03137
455,0.02882
458,0.08598
459,0.01757
461,0.03723
463,0.01466
467,0.04559
470,0.03068
471,0.03830
472,0.03243
476,0.07151
477,0.03046
481,0.02515
482,0.06467
483,0.06694
485,0.02480
487,0.02587
488,0.02350
490,0.02285
492,0.03534
494,0.07501
497,0.06233
499,0.02152
500,0.03188
501,0.02971
503,0.02096
505,0.02264
506,0.03333
507,0.03562
509,0.03681
510,0.03816
511,0.03843
512,0.01499
514,0.03701
515,0.02277
516,0.02533
517,0.07755
519,0.02856
520,0.04246
521,0.02413
522,0.05140
523,0.05018
527,0.02915
530,0.03660
532,0.03364
534,0.01990
536,0.04882
539,0.02837
543,0.02704
547,0.04463
550,0.03073
551,0.06370
552,0.02645
553,0.04202
555,0.03140
556,0.03688
557,0.02592
558,0.03405
559,0.02792
560,0.02308
561,0.06219
565,0.03315
566,0.04010
567,0.03527
571,0.03000
572,0.03058
574,0.02474
575,0.03217
576,0.05096
577,0.03608
578,0.02686
579,0.03454
581,0.02209
587,0.01908
589,0.01879
590,0.07032
591,0.03608
592,0.05105
593,0.02731
594,0.06771
595,0.04191
596,0.01301
597,0.03055
598,0.08730
600,0.02074
602,0.01994
605,0.02421
606,0.03131
607,0.02201
612,0.01840
613,0.02168
614,0.02031
615,0.02995
616,0.02313
617,0.02957
618,0.06204
620,0.02806
621,0.02341
622,0.02356
623,0.02205
628,0.02328
631,0.05557
632,0.01923
633,0.03223
634,0.05211
635,0.08011
637,0.03149
638,0.04386
640,0.02670
643,0.02574
644,0.06968
645,0.03526
646,0.03834
649,0.03739
651,0.05868
653,0.01518
654,0.05654
655,0.08235
656,0.02851
658,0.05624
659,0.02164
661,0.03708
662,0.03341
663,0.03063
664,0.06679
665,0.04379
667,0.02073
668,0.03391
671,0.05050
673,0.04726
674,0.05648
675,0.02333
676,0.04284
677,0.02563
678,0.03063
679,0.03996
680,0.03917
681,0.04994
682,0.03567
683,0.01969
684,0.02654
686,0.04562
687,0.04068
688,0.06067
690,0.03016
691,0.03304
692,0.09484
693,0.02618
694,0.03281
695,0.01733
696,0.02225
698,0.04083
699,0.02158
702,0.03667
703,0.01906
705,0.07421
706,0.04656
707,0.04727
708,0.01939
709,0.06091
710,0.06564
713,0.02216
714,0.04079
715,0.04755
716,0.07680
717,0.06134
718,0.01986
719,0.02609
720,0.02828
721,0.02789
723,0.02826
724,0.02536
726,0.03282
728,0.10827
730,0.01985
732,0.01801
734,0.01784
735,0.03075
737,0.01770
738,0.05380
741,0.05799
742,0.02942
743,0.03061
746,0.02417
747,0.03007
749,0.02673
750,0.04393
752,0.04648
755,0.03804
757,0.02878
758,0.04072
759,0.03117
765,0.02552
766,0.02691
767,0.05496
768,0.03316
769,0.02780
770,0.02151
771,0.01984
772,0.01631
773,0.06726
775,0.04458
776,0.03741
778,0.02861
779,0.03051
780,0.02817
782,0.02069
783,0.05132
784,0.03591
785,0.02156
786,0.02050
788,0.04099
789,0.03506
792,0.05709
793,0.01900
794,0.05957
797,0.04957
798,0.01665
799,0.05743
800,0.03688
801,0.05051
802,0.04528
805,0.02651
807,0.03151
808,0.01615
811,0.02546
