id,target
0,0.03128
1,0.04567
2,0.03713
3,0.01500
4,0.02179
5,0.02799
6,0.03591
8,0.02385
10,0.07835
11,0.03380
12,0.03321
14,0.02259
15,0.05786
18,0.04041
21,0.05326
23,0.03228
24,0.04848
25,0.04428
27,0.04243
29,0.03464
30,0.02099
31,0.09262
32,0.05814
33,0.03298
37,0.04088
38,0.04078
39,0.07681
40,0.02701
41,0.03525
42,0.02918
44,0.02982
45,0.02349
47,0.05286
49,0.02257
51,0.04751
52,0.03030
53,0.03871
54,0.06985
55,0.01647
56,0.02416
57,0.12441
59,0.05643
60,0.04655
62,0.02045
63,0.09236
67,0.03811
68,0.01856
69,0.05841
70,0.03293
71,0.06136
73,0.04217
75,0.02876
76,0.02343
81,0.01652
82,0.03084
83,0.02782
86,0.03403
87,0.04855
88,0.02198
91,0.05470
92,0.03236
94,0.01774
97,0.03995
100,0.02840
102,0.03834
103,0.02693
105,0.04009
106,0.07609
108,0.03852
113,0.06773
114,0.02036
115,0.02856
118,0.08882
122,0.02656
124,0.05885
126,0.03888
128,0.04424
129,0.05514
130,0.04155
131,0.03135
132,0.03517
133,0.01830
134,0.05044
135,0.05071
136,0.02254
139,0.01711
140,0.03352
141,0.07278
146,0.04132
148,0.03058
151,0.01615
152,0.04916
154,0.03674
157,0.02916
158,0.01900
159,0.07177
161,0.02551
164,0.02029
165,0.07333
167,0.04189
168,0.05711
169,0.03555
171,0.04814
172,0.07355
173,0.01583
174,0.02357
175,0.04380
176,0.02970
178,0.05514
179,0.02362
180,0.02612
181,0.01422
182,0.09657
183,0.06069
184,0.06248
185,0.03989
187,0.04268
188,0.02074
190,0.02590
191,0.03077
192,0.06613
195,0.04252
196,0.03088
198,0.06918
201,0.04223
202,0.04450
203,0.02936
204,0.02277
207,0.03361
213,0.03860
219,0.02573
220,0.02121
222,0.08078
226,0.01440
228,0.11042
230,0.03359
231,0.02382
232,0.03321
233,0.03181
234,0.01295
236,0.04382
237,0.02810
238,0.10257
240,0.05446
241,0.02380
242,0.06166
243,0.04609
245,0.02183
246,0.04368
247,0.02206
249,0.06624
250,0.02913
251,0.02018
252,0.02865
253,0.01664
254,0.05080
255,0.09408
256,0.03325
257,0.02778
258,0.02993
259,0.09780
260,0.01110
262,0.02432
267,0.03361
268,0.03337
270,0.01540
272,0.02257
273,0.02705
274,0.02424
275,0.01822
276,0.02973
277,0.03634
278,0.07837
279,0.04894
281,0.03453
282,0.03079
283,0.03491
287,0.03521
288,0.06270
289,0.03873
290,0.01837
291,0.05009
292,0.12114
293,0.04209
294,0.02823
295,0.02254
296,0.11741
297,0.04798
298,0.03501
299,0.07105
300,0.03790
303,0.03841
304,0.06346
308,0.01651
314,0.09172
315,0.03058
317,0.04003
318,0.07269
320,0.05940
322,0.04753
323,0.02734
327,0.03474
329,0.11423
331,0.02438
332,0.14683
333,0.08834
334,0.02281
335,0.02152
336,0.04175
337,0.04295
341,0.04807
343,0.03399
345,0.04557
347,0.02217
348,0.04296
349,0.03439
352,0.02302
353,0.02019
354,0.04832
355,0.02921
356,0.04062
357,0.01850
358,0.02809
359,0.02873
